time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-12T04:29:14.956Z,37.8213,38.2487,10,4.2,mb,23,122,1.05,0.87,us,us6000jndu,2023-02-12T04:44:09.040Z,"6 km NNW of Ad?yaman, Turkey",earthquake,3.04,1.95,0.236,5,reviewed,us,us
2023-02-11T23:30:56.494Z,38.0249,36.4218,10,4.1,mb,83,33,0.382,0.64,us,us6000jncu,2023-02-21T04:22:21.040Z,"Central Turkey",earthquake,3.57,1.861,0.084,39,reviewed,us,us
2023-02-11T22:29:15.692Z,36.6384,36.5737,10,4.3,mb,37,99,0.737,0.73,us,us6000jncp,2023-02-21T05:50:21.040Z,"15 km S of A?a?? Karafak?l?, Turkey",earthquake,4.86,1.875,0.104,27,reviewed,us,us
2023-02-11T20:39:05.278Z,37.8159,37.9186,10,4.2,mb,33,83,0.855,0.92,us,us6000jnc0,2023-02-11T22:14:05.040Z,"2 km N of Tut, Turkey",earthquake,4.8,1.918,0.122,19,reviewed,us,us
2023-02-11T17:50:17.060Z,38.1803,38.729,5.649,4.2,mb,49,104,0.962,0.64,us,us6000jnbi,2023-02-11T20:02:19.040Z,"18 km NNE of Sincik, Turkey",earthquake,3.41,5.021,0.104,28,reviewed,us,us
2023-02-11T17:20:01.507Z,36.2131,36.1207,10,4.3,mb,76,73,1.297,0.8,us,us6000jnbd,2023-02-11T18:35:19.099Z,"2 km S of Günyaz?, Turkey",earthquake,6.28,1.866,0.073,61,reviewed,us,us
2023-02-11T15:33:42.581Z,41.9458,42.2302,10,4.4,mb,33,55,1.072,0.73,us,us6000jnb2,2023-02-12T08:25:17.976Z,"18 km E of Ozurgeti, Georgia",earthquake,4.55,1.922,0.099,29,reviewed,us,us
2023-02-11T14:38:04.145Z,37.9684,36.4994,10,4.4,mb,30,76,0.975,0.92,us,us6000jnay,2023-02-12T13:49:07.292Z,"5 km S of Göksun, Turkey",earthquake,4.95,1.915,0.105,26,reviewed,us,us
2023-02-11T13:10:00.015Z,38.8618,38.0668,12.132,4.6,mb,68,46,0.312,0.79,us,us6000jnar,2023-02-15T01:53:07.040Z,"13 km ENE of Hekimhan, Turkey",earthquake,3.9,4.477,0.086,40,reviewed,us,us
2023-02-11T12:54:58.737Z,38.0797,36.5974,5.699,4.1,mb,25,69,0.97,0.47,us,us6000jnaq,2023-02-11T13:07:45.040Z,"10 km NE of Göksun, Turkey",earthquake,3.58,7.741,0.233,5,reviewed,us,us
